,ts,event,value
87,2021-01-01 00:07:15,0,0
88,2021-01-01 00:07:20,0,1
89,2021-01-01 00:07:25,0,0
90,2021-01-01 00:07:30,0,1
91,2021-01-01 00:07:35,0,5
92,2021-01-01 00:07:40,0,2
93,2021-01-01 00:07:45,0,1
94,2021-01-01 00:07:50,0,2
95,2021-01-01 00:07:55,0,2
96,2021-01-01 00:08:00,0,0
97,2021-01-01 00:08:05,0,0
98,2021-01-01 00:08:10,0,0
99,2021-01-01 00:08:15,0,1
100,2021-01-01 00:08:20,0,0
101,2021-01-01 00:08:25,0,0
102,2021-01-01 00:08:30,0,3
103,2021-01-01 00:08:35,0,2
104,2021-01-01 00:08:40,0,1
105,2021-01-01 00:08:45,0,1
106,2021-01-01 00:08:50,0,0
107,2021-01-01 00:08:55,0,5
108,2021-01-01 00:09:00,0,0
109,2021-01-01 00:09:05,0,1
110,2021-01-01 00:09:10,0,0
111,2021-01-01 00:09:15,0,0
112,2021-01-01 00:09:20,0,1
113,2021-01-01 00:09:25,0,0
114,2021-01-01 00:09:30,0,1
115,2021-01-01 00:09:35,0,0
116,2021-01-01 00:09:40,0,0
117,2021-01-01 00:09:45,0,1
118,2021-01-01 00:09:50,0,0
119,2021-01-01 00:09:55,0,0
120,2021-01-01 00:10:00,0,1
121,2021-01-01 00:10:05,0,1
122,2021-01-01 00:10:10,0,1
123,2021-01-01 00:10:15,0,4
124,2021-01-01 00:10:20,0,4
125,2021-01-01 00:10:25,0,1
126,2021-01-01 00:10:30,0,1
127,2021-01-01 00:10:35,0,0
128,2021-01-01 00:10:40,0,1
129,2021-01-01 00:10:45,0,2
130,2021-01-01 00:10:50,0,1
131,2021-01-01 00:10:55,0,2
132,2021-01-01 00:11:00,0,2
133,2021-01-01 00:11:05,0,0
134,2021-01-01 00:11:10,0,0
135,2021-01-01 00:11:15,0,1
136,2021-01-01 00:11:20,0,2
137,2021-01-01 00:11:25,0,0
138,2021-01-01 00:11:30,0,3
139,2021-01-01 00:11:35,0,0
140,2021-01-01 00:11:40,0,1
141,2021-01-01 00:11:45,0,0
142,2021-01-01 00:11:50,0,0
143,2021-01-01 00:11:55,0,0
144,2021-01-01 00:12:00,0,0
145,2021-01-01 00:12:05,0,1
146,2021-01-01 00:12:10,0,0
147,2021-01-01 00:12:15,0,1
148,2021-01-01 00:12:20,0,1
149,2021-01-01 00:12:25,0,0
150,2021-01-01 00:12:30,0,0
151,2021-01-01 00:12:35,0,2
152,2021-01-01 00:12:40,0,0
153,2021-01-01 00:12:45,0,1
154,2021-01-01 00:12:50,0,1
155,2021-01-01 00:12:55,0,0
156,2021-01-01 00:13:00,0,2
157,2021-01-01 00:13:05,0,0
158,2021-01-01 00:13:10,0,2
159,2021-01-01 00:13:15,0,1
160,2021-01-01 00:13:20,0,0
161,2021-01-01 00:13:25,0,1
162,2021-01-01 00:13:30,0,0
163,2021-01-01 00:13:35,0,0
164,2021-01-01 00:13:40,0,0
165,2021-01-01 00:13:45,0,0
166,2021-01-01 00:13:50,0,2
167,2021-01-01 00:13:55,0,1
168,2021-01-01 00:14:00,0,1
169,2021-01-01 00:14:05,0,3
170,2021-01-01 00:14:10,0,0
171,2021-01-01 00:14:15,0,1
172,2021-01-01 00:14:20,0,0
173,2021-01-01 00:14:25,0,1
174,2021-01-01 00:14:30,0,0
175,2021-01-01 00:14:35,0,11
176,2021-01-01 00:14:40,0,0
177,2021-01-01 00:14:45,0,0
178,2021-01-01 00:14:50,0,0
179,2021-01-01 00:14:55,0,0
180,2021-01-01 00:15:00,0,1
181,2021-01-01 00:15:05,0,1
182,2021-01-01 00:15:10,0,4
183,2021-01-01 00:15:15,0,1
184,2021-01-01 00:15:20,0,0
185,2021-01-01 00:15:25,0,1
186,2021-01-01 00:15:30,0,1
187,2021-01-01 00:15:35,0,2
188,2021-01-01 00:15:40,0,2
189,2021-01-01 00:15:45,0,1
190,2021-01-01 00:15:50,0,3
191,2021-01-01 00:15:55,0,1
192,2021-01-01 00:16:00,0,1
193,2021-01-01 00:16:05,0,1
194,2021-01-01 00:16:10,0,3
195,2021-01-01 00:16:15,0,1
196,2021-01-01 00:16:20,0,0
197,2021-01-01 00:16:25,0,2
198,2021-01-01 00:16:30,0,4
199,2021-01-01 00:16:35,0,0
200,2021-01-01 00:16:40,0,11
201,2021-01-01 00:16:45,0,7
202,2021-01-01 00:16:50,0,3
203,2021-01-01 00:16:55,0,3
204,2021-01-01 00:17:00,0,6
205,2021-01-01 00:17:05,0,3
206,2021-01-01 00:17:10,0,3
207,2021-01-01 00:17:15,0,2
208,2021-01-01 00:17:20,0,4
209,2021-01-01 00:17:25,0,2
210,2021-01-01 00:17:30,0,2
211,2021-01-01 00:17:35,0,3
212,2021-01-01 00:17:40,0,2
213,2021-01-01 00:17:45,0,1
214,2021-01-01 00:17:50,0,2
215,2021-01-01 00:17:55,0,0
216,2021-01-01 00:18:00,0,6
217,2021-01-01 00:18:05,0,1
218,2021-01-01 00:18:10,0,2
219,2021-01-01 00:18:15,0,3
220,2021-01-01 00:18:20,0,1
221,2021-01-01 00:18:25,0,3
222,2021-01-01 00:18:30,0,1
223,2021-01-01 00:18:35,0,4
224,2021-01-01 00:18:40,0,5
225,2021-01-01 00:18:45,0,8
226,2021-01-01 00:18:50,0,8
227,2021-01-01 00:18:55,0,0
228,2021-01-01 00:19:00,0,4
229,2021-01-01 00:19:05,0,3
230,2021-01-01 00:19:10,0,3
231,2021-01-01 00:19:15,0,11
232,2021-01-01 00:19:20,0,7
233,2021-01-01 00:19:25,0,11
234,2021-01-01 00:19:30,0,5
235,2021-01-01 00:19:35,0,4
236,2021-01-01 00:19:40,0,3
237,2021-01-01 00:19:45,0,9
238,2021-01-01 00:19:50,0,5
239,2021-01-01 00:19:55,0,4
240,2021-01-01 00:20:00,0,4
241,2021-01-01 00:20:05,0,5
242,2021-01-01 00:20:10,0,4
243,2021-01-01 00:20:15,0,2
244,2021-01-01 00:20:20,0,5
245,2021-01-01 00:20:25,0,3
246,2021-01-01 00:20:30,0,5
247,2021-01-01 00:20:35,0,6
248,2021-01-01 00:20:40,0,5
249,2021-01-01 00:20:45,0,5
250,2021-01-01 00:20:50,0,1
251,2021-01-01 00:20:55,0,3
252,2021-01-01 00:21:00,0,4
253,2021-01-01 00:21:05,0,3
254,2021-01-01 00:21:10,0,3
255,2021-01-01 00:21:15,0,4
256,2021-01-01 00:21:20,0,4
257,2021-01-01 00:21:25,0,4
258,2021-01-01 00:21:30,0,1
259,2021-01-01 00:21:35,0,8
260,2021-01-01 00:21:40,0,1
261,2021-01-01 00:21:45,0,4
262,2021-01-01 00:21:50,0,3
263,2021-01-01 00:21:55,0,5
264,2021-01-01 00:22:00,0,5
265,2021-01-01 00:22:05,0,2
266,2021-01-01 00:22:10,0,5
267,2021-01-01 00:22:15,0,6
268,2021-01-01 00:22:20,0,1
269,2021-01-01 00:22:25,0,7
270,2021-01-01 00:22:30,0,4
271,2021-01-01 00:22:35,0,3
272,2021-01-01 00:22:40,0,4
273,2021-01-01 00:22:45,0,5
274,2021-01-01 00:22:50,0,6
275,2021-01-01 00:22:55,0,7
276,2021-01-01 00:23:00,0,4
277,2021-01-01 00:23:05,0,1
278,2021-01-01 00:23:10,0,0
279,2021-01-01 00:23:15,0,2
280,2021-01-01 00:23:20,0,4
281,2021-01-01 00:23:25,0,0
282,2021-01-01 00:23:30,0,2
283,2021-01-01 00:23:35,0,4
284,2021-01-01 00:23:40,0,3
285,2021-01-01 00:23:45,0,9
286,2021-01-01 00:23:50,0,1
287,2021-01-01 00:23:55,0,9
288,2021-01-01 00:24:00,0,1
289,2021-01-01 00:24:05,0,2
290,2021-01-01 00:24:10,0,3
291,2021-01-01 00:24:15,0,3
292,2021-01-01 00:24:20,0,4
293,2021-01-01 00:24:25,0,8
294,2021-01-01 00:24:30,0,7
295,2021-01-01 00:24:35,0,6
296,2021-01-01 00:24:40,0,6
297,2021-01-01 00:24:45,0,6
298,2021-01-01 00:24:50,0,5
299,2021-01-01 00:24:55,0,2
300,2021-01-01 00:25:00,0,2
301,2021-01-01 00:25:05,0,1
302,2021-01-01 00:25:10,0,5
303,2021-01-01 00:25:15,0,13
304,2021-01-01 00:25:20,0,4
305,2021-01-01 00:25:25,0,1
306,2021-01-01 00:25:30,0,5
307,2021-01-01 00:25:35,0,8
308,2021-01-01 00:25:40,0,3
309,2021-01-01 00:25:45,0,0
310,2021-01-01 00:25:50,0,4
311,2021-01-01 00:25:55,0,3
312,2021-01-01 00:26:00,0,3
313,2021-01-01 00:26:05,0,3
314,2021-01-01 00:26:10,0,4
315,2021-01-01 00:26:15,0,2
316,2021-01-01 00:26:20,0,4
317,2021-01-01 00:26:25,0,2
318,2021-01-01 00:26:30,0,5
319,2021-01-01 00:26:35,0,4
320,2021-01-01 00:26:40,0,1
321,2021-01-01 00:26:45,0,3
322,2021-01-01 00:26:50,0,2
323,2021-01-01 00:26:55,0,0
324,2021-01-01 00:27:00,0,1
325,2021-01-01 00:27:05,0,1
326,2021-01-01 00:27:10,0,3
327,2021-01-01 00:27:15,0,2
328,2021-01-01 00:27:20,0,8
329,2021-01-01 00:27:25,0,5
330,2021-01-01 00:27:30,0,3
331,2021-01-01 00:27:35,0,6
332,2021-01-01 00:27:40,0,8
333,2021-01-01 00:27:45,0,1
334,2021-01-01 00:27:50,0,2
335,2021-01-01 00:27:55,0,0
336,2021-01-01 00:28:00,0,4
337,2021-01-01 00:28:05,0,2
338,2021-01-01 00:28:10,0,1
339,2021-01-01 00:28:15,0,1
340,2021-01-01 00:28:20,0,6
341,2021-01-01 00:28:25,0,3
342,2021-01-01 00:28:30,0,4
343,2021-01-01 00:28:35,0,1
344,2021-01-01 00:28:40,0,4
345,2021-01-01 00:28:45,0,3
346,2021-01-01 00:28:50,0,1
347,2021-01-01 00:28:55,0,2
348,2021-01-01 00:29:00,0,5
349,2021-01-01 00:29:05,0,3
350,2021-01-01 00:29:10,0,1
351,2021-01-01 00:29:15,0,0
352,2021-01-01 00:29:20,0,2
353,2021-01-01 00:29:25,0,3
354,2021-01-01 00:29:30,0,5
355,2021-01-01 00:29:35,0,1
356,2021-01-01 00:29:40,0,1
357,2021-01-01 00:29:45,0,2
358,2021-01-01 00:29:50,0,3
359,2021-01-01 00:29:55,0,4
360,2021-01-01 00:30:00,0,2
361,2021-01-01 00:30:05,0,3
362,2021-01-01 00:30:10,0,2
363,2021-01-01 00:30:15,0,5
364,2021-01-01 00:30:20,0,0
365,2021-01-01 00:30:25,0,0
366,2021-01-01 00:30:30,0,3
367,2021-01-01 00:30:35,0,2
368,2021-01-01 00:30:40,0,2
369,2021-01-01 00:30:45,0,1
370,2021-01-01 00:30:50,0,0
371,2021-01-01 00:30:55,0,0
372,2021-01-01 00:31:00,0,0
373,2021-01-01 00:31:05,0,1
374,2021-01-01 00:31:10,0,0
375,2021-01-01 00:31:15,0,2
376,2021-01-01 00:31:20,0,1
377,2021-01-01 00:31:25,0,0
378,2021-01-01 00:31:30,0,0
379,2021-01-01 00:31:35,0,0
380,2021-01-01 00:31:40,0,0
381,2021-01-01 00:31:45,0,0
382,2021-01-01 00:31:50,0,0
383,2021-01-01 00:31:55,0,0
384,2021-01-01 00:32:00,0,2
385,2021-01-01 00:32:05,0,1
386,2021-01-01 00:32:10,0,0
387,2021-01-01 00:32:15,0,0
388,2021-01-01 00:32:20,0,1
389,2021-01-01 00:32:25,0,1
390,2021-01-01 00:32:30,0,4
391,2021-01-01 00:32:35,0,0
392,2021-01-01 00:32:40,0,1
393,2021-01-01 00:32:45,0,1
394,2021-01-01 00:32:50,0,2
395,2021-01-01 00:32:55,0,2
396,2021-01-01 00:33:00,0,1
397,2021-01-01 00:33:05,0,0
398,2021-01-01 00:33:10,0,0
399,2021-01-01 00:33:15,0,2
400,2021-01-01 00:33:20,0,1
401,2021-01-01 00:33:25,0,0
402,2021-01-01 00:33:30,0,0
403,2021-01-01 00:33:35,0,1
404,2021-01-01 00:33:40,0,0
405,2021-01-01 00:33:45,0,2
406,2021-01-01 00:33:50,0,0
407,2021-01-01 00:33:55,0,0
408,2021-01-01 00:34:00,0,0
409,2021-01-01 00:34:05,0,0
410,2021-01-01 00:34:10,0,0
411,2021-01-01 00:34:15,0,0
412,2021-01-01 00:34:20,0,0
413,2021-01-01 00:34:25,0,0
414,2021-01-01 00:34:30,0,1
415,2021-01-01 00:34:35,0,0
416,2021-01-01 00:34:40,0,0
417,2021-01-01 00:34:45,0,0
418,2021-01-01 00:34:50,0,0
419,2021-01-01 00:34:55,0,2
420,2021-01-01 00:35:00,0,0
421,2021-01-01 00:35:05,0,0
422,2021-01-01 00:35:10,0,1
423,2021-01-01 00:35:15,0,0
424,2021-01-01 00:35:20,0,2
425,2021-01-01 00:35:25,0,0
426,2021-01-01 00:35:30,0,0
427,2021-01-01 00:35:35,0,1
428,2021-01-01 00:35:40,0,0
429,2021-01-01 00:35:45,0,0
430,2021-01-01 00:35:50,0,0
431,2021-01-01 00:35:55,0,0
432,2021-01-01 00:36:00,0,0
433,2021-01-01 00:36:05,0,1
434,2021-01-01 00:36:10,0,0
435,2021-01-01 00:36:15,0,0
436,2021-01-01 00:36:20,0,1
437,2021-01-01 00:36:25,0,0
438,2021-01-01 00:36:30,0,0
439,2021-01-01 00:36:35,0,0
440,2021-01-01 00:36:40,0,1
441,2021-01-01 00:36:45,0,0
442,2021-01-01 00:36:50,0,0
443,2021-01-01 00:36:55,0,1
444,2021-01-01 00:37:00,0,1
445,2021-01-01 00:37:05,0,0
446,2021-01-01 00:37:10,0,0
447,2021-01-01 00:37:15,0,0
448,2021-01-01 00:37:20,0,0
449,2021-01-01 00:37:25,0,0
450,2021-01-01 00:37:30,0,0
451,2021-01-01 00:37:35,0,0
452,2021-01-01 00:37:40,0,0
453,2021-01-01 00:37:45,0,0
454,2021-01-01 00:37:50,0,0
455,2021-01-01 00:37:55,0,2
456,2021-01-01 00:38:00,0,0
457,2021-01-01 00:38:05,0,1
458,2021-01-01 00:38:10,0,1
459,2021-01-01 00:38:15,0,0
460,2021-01-01 00:38:20,0,0
461,2021-01-01 00:38:25,0,0
462,2021-01-01 00:38:30,0,0
463,2021-01-01 00:38:35,0,1
464,2021-01-01 00:38:40,0,0
465,2021-01-01 00:38:45,0,0
466,2021-01-01 00:38:50,0,1
467,2021-01-01 00:38:55,0,0
468,2021-01-01 00:39:00,0,0
469,2021-01-01 00:39:05,0,1
470,2021-01-01 00:39:10,0,2
471,2021-01-01 00:39:15,0,2
472,2021-01-01 00:39:20,0,1
473,2021-01-01 00:39:25,0,0
474,2021-01-01 00:39:30,0,2
475,2021-01-01 00:39:35,0,0
476,2021-01-01 00:39:40,0,0
477,2021-01-01 00:39:45,0,1
478,2021-01-01 00:39:50,0,1
479,2021-01-01 00:39:55,0,3
480,2021-01-01 00:40:00,0,0
481,2021-01-01 00:40:05,0,2
482,2021-01-01 00:40:10,0,0
483,2021-01-01 00:40:15,0,0
484,2021-01-01 00:40:20,0,1
485,2021-01-01 00:40:25,0,2
486,2021-01-01 00:40:30,0,2
487,2021-01-01 00:40:35,0,1
488,2021-01-01 00:40:40,0,2
489,2021-01-01 00:40:45,0,0
490,2021-01-01 00:40:50,0,2
491,2021-01-01 00:40:55,0,2
492,2021-01-01 00:41:00,0,2
493,2021-01-01 00:41:05,0,0
494,2021-01-01 00:41:10,0,0
495,2021-01-01 00:41:15,0,2
496,2021-01-01 00:41:20,0,0
497,2021-01-01 00:41:25,0,1
498,2021-01-01 00:41:30,0,0
499,2021-01-01 00:41:35,0,1
500,2021-01-01 00:41:40,0,2
501,2021-01-01 00:41:45,0,2
502,2021-01-01 00:41:50,0,5
503,2021-01-01 00:41:55,0,0
504,2021-01-01 00:42:00,0,4
505,2021-01-01 00:42:05,0,5
506,2021-01-01 00:42:10,0,0
507,2021-01-01 00:42:15,0,0
508,2021-01-01 00:42:20,0,2
509,2021-01-01 00:42:25,0,3
510,2021-01-01 00:42:30,0,0
511,2021-01-01 00:42:35,0,1
512,2021-01-01 00:42:40,0,0
513,2021-01-01 00:42:45,0,0
514,2021-01-01 00:42:50,0,1
515,2021-01-01 00:42:55,0,1
516,2021-01-01 00:43:00,0,1
517,2021-01-01 00:43:05,0,1
518,2021-01-01 00:43:10,0,3
519,2021-01-01 00:43:15,0,13
520,2021-01-01 00:43:20,0,10
521,2021-01-01 00:43:25,0,5
522,2021-01-01 00:43:30,0,5
523,2021-01-01 00:43:35,0,4
524,2021-01-01 00:43:40,0,6
525,2021-01-01 00:43:45,0,3
526,2021-01-01 00:43:50,0,0
527,2021-01-01 00:43:55,0,3
528,2021-01-01 00:44:00,0,2
529,2021-01-01 00:44:05,0,4
530,2021-01-01 00:44:10,0,4
531,2021-01-01 00:44:15,0,1
532,2021-01-01 00:44:20,0,3
533,2021-01-01 00:44:25,0,5
534,2021-01-01 00:44:30,0,4
535,2021-01-01 00:44:35,0,0
536,2021-01-01 00:44:40,0,1
537,2021-01-01 00:44:45,0,1
538,2021-01-01 00:44:50,0,2
539,2021-01-01 00:44:55,0,0
540,2021-01-01 00:45:00,0,6
541,2021-01-01 00:45:05,0,4
542,2021-01-01 00:45:10,0,0
543,2021-01-01 00:45:15,0,1
544,2021-01-01 00:45:20,0,2
545,2021-01-01 00:45:25,0,3
546,2021-01-01 00:45:30,0,0
547,2021-01-01 00:45:35,0,3
548,2021-01-01 00:45:40,0,1
549,2021-01-01 00:45:45,0,5
550,2021-01-01 00:45:50,0,4
551,2021-01-01 00:45:55,0,2
552,2021-01-01 00:46:00,0,2
553,2021-01-01 00:46:05,0,1
554,2021-01-01 00:46:10,0,1
555,2021-01-01 00:46:15,0,0
556,2021-01-01 00:46:20,0,0
557,2021-01-01 00:46:25,0,3
558,2021-01-01 00:46:30,0,3
559,2021-01-01 00:46:35,0,3
560,2021-01-01 00:46:40,0,1
561,2021-01-01 00:46:45,0,3
562,2021-01-01 00:46:50,0,4
563,2021-01-01 00:46:55,0,3
564,2021-01-01 00:47:00,0,0
565,2021-01-01 00:47:05,0,1
566,2021-01-01 00:47:10,0,1
567,2021-01-01 00:47:15,0,3
568,2021-01-01 00:47:20,0,2
569,2021-01-01 00:47:25,0,4
570,2021-01-01 00:47:30,0,2
571,2021-01-01 00:47:35,0,1
572,2021-01-01 00:47:40,0,1
573,2021-01-01 00:47:45,0,2
574,2021-01-01 00:47:50,0,2
575,2021-01-01 00:47:55,0,1
576,2021-01-01 00:48:00,0,7
577,2021-01-01 00:48:05,0,2
578,2021-01-01 00:48:10,0,3
579,2021-01-01 00:48:15,0,2
580,2021-01-01 00:48:20,0,1
581,2021-01-01 00:48:25,0,2
582,2021-01-01 00:48:30,0,5
583,2021-01-01 00:48:35,0,1
584,2021-01-01 00:48:40,0,2
585,2021-01-01 00:48:45,0,3
586,2021-01-01 00:48:50,0,0
587,2021-01-01 00:48:55,0,0
588,2021-01-01 00:49:00,0,6
589,2021-01-01 00:49:05,0,8
590,2021-01-01 00:49:10,0,11
591,2021-01-01 00:49:15,0,7
592,2021-01-01 00:49:20,0,2
593,2021-01-01 00:49:25,0,4
594,2021-01-01 00:49:30,0,2
595,2021-01-01 00:49:35,0,3
596,2021-01-01 00:49:40,0,1
597,2021-01-01 00:49:45,0,1
598,2021-01-01 00:49:50,0,4
599,2021-01-01 00:49:55,0,0
600,2021-01-01 00:50:00,0,0
601,2021-01-01 00:50:05,0,1
602,2021-01-01 00:50:10,0,1
603,2021-01-01 00:50:15,0,1
604,2021-01-01 00:50:20,0,0
605,2021-01-01 00:50:25,0,2
606,2021-01-01 00:50:30,0,3
607,2021-01-01 00:50:35,0,1
608,2021-01-01 00:50:40,0,0
609,2021-01-01 00:50:45,0,2
610,2021-01-01 00:50:50,0,2
611,2021-01-01 00:50:55,0,3
612,2021-01-01 00:51:00,0,3
613,2021-01-01 00:51:05,0,0
614,2021-01-01 00:51:10,0,2
615,2021-01-01 00:51:15,0,1
616,2021-01-01 00:51:20,0,3
617,2021-01-01 00:51:25,0,0
618,2021-01-01 00:51:30,0,4
619,2021-01-01 00:51:35,0,0
620,2021-01-01 00:51:40,0,2
621,2021-01-01 00:51:45,0,3
622,2021-01-01 00:51:50,0,2
623,2021-01-01 00:51:55,0,2
624,2021-01-01 00:52:00,0,1
625,2021-01-01 00:52:05,0,1
626,2021-01-01 00:52:10,0,0
627,2021-01-01 00:52:15,0,0
628,2021-01-01 00:52:20,0,2
629,2021-01-01 00:52:25,0,1
630,2021-01-01 00:52:30,0,0
631,2021-01-01 00:52:35,0,0
632,2021-01-01 00:52:40,0,0
633,2021-01-01 00:52:45,0,1
634,2021-01-01 00:52:50,0,0
635,2021-01-01 00:52:55,0,0
636,2021-01-01 00:53:00,0,2
637,2021-01-01 00:53:05,0,0
638,2021-01-01 00:53:10,0,1
639,2021-01-01 00:53:15,0,0
640,2021-01-01 00:53:20,0,0
641,2021-01-01 00:53:25,0,0
642,2021-01-01 00:53:30,0,1
643,2021-01-01 00:53:35,0,0
644,2021-01-01 00:53:40,0,3
645,2021-01-01 00:53:45,0,1
646,2021-01-01 00:53:50,0,1
647,2021-01-01 00:53:55,0,0
648,2021-01-01 00:54:00,0,0
649,2021-01-01 00:54:05,0,3
650,2021-01-01 00:54:10,0,1
651,2021-01-01 00:54:15,0,0
652,2021-01-01 00:54:20,0,0
653,2021-01-01 00:54:25,0,0
654,2021-01-01 00:54:30,0,4
655,2021-01-01 00:54:35,0,0
656,2021-01-01 00:54:40,0,2
657,2021-01-01 00:54:45,0,4
658,2021-01-01 00:54:50,0,0
659,2021-01-01 00:54:55,0,1
660,2021-01-01 00:55:00,0,0
661,2021-01-01 00:55:05,0,1
662,2021-01-01 00:55:10,0,1
663,2021-01-01 00:55:15,0,0
664,2021-01-01 00:55:20,0,1
665,2021-01-01 00:55:25,0,1
666,2021-01-01 00:55:30,0,2
667,2021-01-01 00:55:35,0,0
668,2021-01-01 00:55:40,0,1
669,2021-01-01 00:55:45,0,1
670,2021-01-01 00:55:50,0,0
671,2021-01-01 00:55:55,0,0
672,2021-01-01 00:56:00,0,1
673,2021-01-01 00:56:05,0,0
674,2021-01-01 00:56:10,0,0
675,2021-01-01 00:56:15,0,0
676,2021-01-01 00:56:20,0,0
677,2021-01-01 00:56:25,0,0
678,2021-01-01 00:56:30,0,3
679,2021-01-01 00:56:35,0,0
680,2021-01-01 00:56:40,0,0
681,2021-01-01 00:56:45,0,0
682,2021-01-01 00:56:50,0,0
683,2021-01-01 00:56:55,0,0
684,2021-01-01 00:57:00,0,0
685,2021-01-01 00:57:05,0,0
686,2021-01-01 00:57:10,0,0
687,2021-01-01 00:57:15,0,1
688,2021-01-01 00:57:20,0,0
689,2021-01-01 00:57:25,0,0
690,2021-01-01 00:57:30,0,0
691,2021-01-01 00:57:35,0,0
692,2021-01-01 00:57:40,0,0
693,2021-01-01 00:57:45,0,1
694,2021-01-01 00:57:50,0,0
695,2021-01-01 00:57:55,0,0
696,2021-01-01 00:58:00,0,0
697,2021-01-01 00:58:05,0,0
698,2021-01-01 00:58:10,0,0
699,2021-01-01 00:58:15,0,0
700,2021-01-01 00:58:20,0,0
701,2021-01-01 00:58:25,0,0
702,2021-01-01 00:58:30,0,0
703,2021-01-01 00:58:35,0,0
704,2021-01-01 00:58:40,0,0
705,2021-01-01 00:58:45,0,0
706,2021-01-01 00:58:50,0,0
707,2021-01-01 00:58:55,0,0
708,2021-01-01 00:59:00,0,0
709,2021-01-01 00:59:05,0,0
710,2021-01-01 00:59:10,0,1
711,2021-01-01 00:59:15,0,0
712,2021-01-01 00:59:20,0,0
713,2021-01-01 00:59:25,0,0
714,2021-01-01 00:59:30,0,0
715,2021-01-01 00:59:35,0,0
716,2021-01-01 00:59:40,0,0
717,2021-01-01 00:59:45,0,0
718,2021-01-01 00:59:50,0,0
719,2021-01-01 00:59:55,0,0
720,2021-01-01 01:00:00,0,0
721,2021-01-01 01:00:05,0,1
722,2021-01-01 01:00:10,0,0
723,2021-01-01 01:00:15,0,0
724,2021-01-01 01:00:20,0,0
725,2021-01-01 01:00:25,0,0
726,2021-01-01 01:00:30,0,1
727,2021-01-01 01:00:35,0,1
728,2021-01-01 01:00:40,0,0
729,2021-01-01 01:00:45,0,0
730,2021-01-01 01:00:50,0,0
731,2021-01-01 01:00:55,0,0
732,2021-01-01 01:01:00,0,0
733,2021-01-01 01:01:05,0,0
734,2021-01-01 01:01:10,0,0
735,2021-01-01 01:01:15,0,0
